,oos_equity
2022-06-21,1030552.613340684
2022-06-22,1031069.5375091918
2022-06-23,1030717.6664810966
2022-06-24,1029017.1537490924
2022-06-27,1029335.9985166409
2022-06-28,1029871.7164589546
2022-06-29,1030750.6927416432
2022-06-30,1031529.1438371202
2022-07-01,1030375.832631057
2022-07-05,1030453.3906510138
2022-07-06,1029995.2307286571
2022-07-07,1030634.3666693254
2022-07-08,1030558.2331397041
2022-07-11,1031115.4937589375
2022-07-12,1032676.6913361336
2022-07-13,1031725.8988253018
2022-07-14,1033021.39608208
2022-07-15,1034944.5018654274
2022-07-18,1032961.3228457553
2022-07-19,1032703.2014030733
2022-07-20,1032587.7650451342
2022-07-21,1033207.3491903151
2022-07-22,1029268.3325605188
2022-07-25,1026847.1013932892
2022-07-26,1026847.1013932892
2022-07-27,1026847.1013932892
2022-07-28,1026847.1013932892
2022-07-29,1026847.1013932892
2022-08-01,1026847.1013932892
2022-08-02,1026847.1013932892
2022-08-03,1026847.1013932892
2022-08-04,1026804.8506392342
2022-08-05,1029382.1429116827
2022-08-08,1024642.5517917807
2022-08-09,1025041.620848467
2022-08-10,1024764.4353951311
2022-08-11,1026582.5772447716
2022-08-12,1026447.3226211206
2022-08-15,1026211.3278414662
2022-08-16,1026315.484415764
2022-08-17,1025428.5601319089
2022-08-18,1024903.0539602618
2022-08-19,1024903.0539602618
2022-08-22,1024903.0539602618
2022-08-23,1024885.4550124207
2022-08-24,1023464.2183083715
2022-08-25,1023130.0493782627
2022-08-26,1022374.658210234
2022-08-29,1023770.2638094452
2022-08-30,1025339.3910844534
2022-08-31,1025540.6388448933
2022-09-01,1026360.2272474277
2022-09-02,1027504.9852124682
2022-09-06,1028013.9346570481
2022-09-07,1031982.013563801
2022-09-08,1033406.7916324876
2022-09-09,1033010.1261550883
2022-09-12,1031172.6388633946
2022-09-13,1031146.6847779218
2022-09-14,1032207.7526913245
2022-09-15,1031343.8470575107
2022-09-16,1031601.6773926129
2022-09-19,1031251.6789655446
2022-09-20,1031518.8462710449
2022-09-21,1031733.2914873818
2022-09-22,1031733.2914873818
2022-09-23,1031733.2914873818
2022-09-26,1031733.2914873818
2022-09-27,1031733.2914873818
2022-09-28,1031733.2914873818
2022-09-29,1031733.2914873818
2022-09-30,1031733.2914873818
2022-10-03,1031733.2914873818
2022-10-04,1031733.2914873818
2022-10-05,1031733.2914873818
2022-10-06,1031733.2914873818
2022-10-07,1031733.2914873818
2022-10-10,1031733.2914873818
2022-10-11,1031733.2914873818
2022-10-12,1031733.2914873818
2022-10-13,1031733.2914873818
2022-10-14,1031733.2914873818
2022-10-17,1031733.2914873818
2022-10-18,1031733.2914873818
2022-10-19,1031733.2914873818
2022-10-20,1031733.2914873818
2022-10-21,1031733.2914873818
2022-10-24,1031733.2914873818
2022-10-25,1031733.2914873818
2022-10-26,1031733.2914873818
2022-10-27,1031733.2914873818
2022-10-28,1031733.2914873818
2022-10-31,1031733.2914873818
2022-11-01,1031733.2914873818
2022-11-02,1031733.2914873818
2022-11-03,1031733.2914873818
2022-11-04,1031733.2914873818
2022-11-07,1031733.2914873818
2022-11-08,1031733.2914873818
2022-11-09,1031733.2914873818
2022-11-10,1031733.2914873818
2022-11-11,1031733.2914873818
2022-11-14,1031733.2914873818
2022-11-15,1031733.2914873818
2022-11-16,1031733.2914873818
2022-11-17,1031733.2914873818
2022-11-18,1031733.2914873818
2022-11-21,1031733.2914873818
2022-11-22,1031733.2914873818
2022-11-23,1031733.2914873818
2022-11-25,1031733.2914873818
2022-11-28,1031733.2914873818
2022-11-29,1031733.2914873818
2022-11-30,1031733.2914873818
2022-12-01,1031733.2914873818
2022-12-02,1031733.2914873818
2022-12-05,1031733.2914873818
2022-12-06,1031733.2914873818
2022-12-07,1031733.2914873818
2022-12-08,1031733.2914873818
